address,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,PriceEstimate,RentEstimate,imgSrc
"33602 Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.042118,-118.90748,42500000,8,6,6451,Single Family,36815700,143187,https://photos.zillowstatic.com/fp/f198db735ccbeeb2385b12be744ed43f-p_e.jpg
"63 Monarch Bay Dr, Dana Point, CA 92629",Dana Point,CA,92629,33.48445,-117.72967,42000000,6,4,7717,Single Family,37520800,114829,https://photos.zillowstatic.com/fp/b4eabc624db8ddb378879fa09fe6956b-p_e.jpg
"13 Old Ranch Rd, Laguna Niguel, CA 92677",Laguna Niguel,CA,92677,33.49451,-117.68707,39995000,10,6,15188,Single Family,35069300,105291,https://photos.zillowstatic.com/fp/00abc03f9492b544efa8266e945a0252-p_e.jpg
"20462 SW Birch St, Newport Beach, CA 92660",Newport Beach,CA,92660,33.655483,-117.87909,39950000,9,5,12000,Single Family,10403200,32585,https://photos.zillowstatic.com/fp/e856d04bc21046016c795b105fca87c9-p_e.jpg
"755 Sarbonne Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.084747,-118.451454,39900000,10,6,15000,Single Family,,135031,https://photos.zillowstatic.com/fp/59d9f41ad5c160bfdfdc423768eadc74-p_e.jpg
"21 Strand Beach Dr, Dana Point, CA 92629",Dana Point,CA,92629,33.4659,-117.71549,39500000,9,5,10576,Single Family,35067200,105022,https://photos.zillowstatic.com/fp/65dfe1716e56fc5c6afbb318f205371e-p_e.jpg
"16 Lagunita Dr, Laguna Beach, CA 92651",Laguna Beach,CA,92651,33.51868,-117.76174,38000000,8,5,8718,Single Family,,44124,https://photos.zillowstatic.com/fp/dbb482240ee36f9ce667b92df62ca27b-p_e.jpg
"642 Perugia Way, Los Angeles, CA 90077",Los Angeles,CA,90077,34.081383,-118.44928,37995000,9,5,14438,Single Family,34387200,143910,https://photos.zillowstatic.com/fp/77bf03929bb8ec12c28bc3a7be5f16a4-p_e.jpg
"11 Montage Way, Laguna Beach, CA 92651",Laguna Beach,CA,92651,33.515034,-117.75868,37700000,8,5,9305,Single Family,,85414,https://photos.zillowstatic.com/fp/0df10670d357e0a7a3f61552ab2fa700-p_e.jpg
"21 Spinnaker, Newport Coast, CA 92657",Newport Coast,CA,92657,33.5844,-117.826164,35000000,8,5,11700,Single Family,,,https://photos.zillowstatic.com/fp/5585b666092702c9d3b1b51f08b5a893-p_e.jpg
